src_ip_delta_time,src_ip,dst_ip,src_port,dst_port,protocol,packet_length,payload_len,ttl,tcp_flags,tcp_flags_int,tcp_window,index,log_src_ip_avg_freq
9.3e-05,10.5.6.61,31.13.87.1,56142.0,443.0,UDP,124,82,64,,,,187,2.2794962962497802
0.522194,10.5.5.83,224.0.0.251,5353.0,5353.0,UDP,483,0,255,,,,188,2.251885974611372
0.000598,10.5.6.61,8.8.8.8,57778.0,443.0,UDP,252,210,64,,,,189,2.2794962962497802
2.9e-05,10.5.6.61,8.8.8.8,57778.0,443.0,UDP,252,210,64,,,,190,2.2794962962497802
3.1e-05,10.5.6.61,140.82.113.22,55921.0,443.0,TCP,142,76,64,PA,24.0,2048.0,191,2.2794962962497802
1.4e-05,10.5.6.61,140.82.113.22,55921.0,443.0,TCP,105,39,64,PA,24.0,2048.0,192,2.2794962962497802
1.3e-05,10.5.6.61,140.82.113.22,55921.0,443.0,TCP,1490,1424,64,A,16.0,2048.0,193,2.2794962962497802
0.0,10.5.6.61,140.82.113.22,55921.0,443.0,TCP,1490,1424,64,A,16.0,2048.0,194,2.2794962962497802
3e-06,10.5.6.61,140.82.113.22,55921.0,443.0,TCP,1381,1315,64,PA,24.0,2048.0,195,2.2794962962497802
0.005085,10.5.6.61,140.112.30.21,52026.0,53.0,UDP,79,0,64,,,,196,2.2794962962497802
1.633313,31.13.87.1,10.5.6.61,443.0,55862.0,TCP,66,0,54,A,16.0,785.0,197,1.714756683567173
0.004441,10.5.6.61,31.13.87.1,55862.0,443.0,TCP,138,72,64,PA,24.0,2048.0,198,2.2794962962497802
