src_ip,dst_ip,protocol,dst_port,packet_length
10.129.219.246,13.107.5.93,TCP,443,54
13.107.5.93,10.129.219.246,TCP,53595,758
10.129.219.246,13.107.5.93,TCP,443,54
10.129.219.246,52.182.141.63,TCP,443,184
10.129.219.246,52.182.141.63,TCP,443,1436
10.129.219.246,52.182.141.63,TCP,443,890
10.129.219.246,104.18.37.228,TCP,443,54
104.18.37.228,10.129.219.246,TCP,53530,66
52.182.141.63,10.129.219.246,TCP,53554,66
10.129.219.246,142.250.196.206,UDP,443,71
142.250.196.206,10.129.219.246,UDP,61606,68
52.182.141.63,10.129.219.246,TCP,53554,66
52.182.141.63,10.129.219.246,TCP,53554,165
10.129.219.246,52.182.141.63,TCP,443,66
10.129.219.246,185.199.111.154,TCP,443,54
99.83.179.177,10.129.219.246,TCP,53503,98
10.129.219.246,99.83.179.177,TCP,443,66
10.129.219.246,99.83.179.177,TCP,443,102
99.83.179.177,10.129.219.246,TCP,53503,66
185.199.111.154,10.129.219.246,TCP,53489,66
10.129.219.246,13.107.5.93,TCP,443,54
13.107.5.93,10.129.219.246,TCP,53594,60
13.107.5.93,10.129.219.246,TCP,53594,60
10.129.219.246,13.107.5.93,TCP,443,54
10.129.219.246,140.82.114.26,TCP,443,54
140.82.114.26,10.129.219.246,TCP,53493,66
10.129.219.246,13.107.5.93,TCP,443,54
13.107.5.93,10.129.219.246,TCP,53595,60
13.107.5.93,10.129.219.246,TCP,53595,60
10.129.219.246,13.107.5.93,TCP,443,54
10.129.219.246,142.250.196.195,TCP,443,54
142.250.196.195,10.129.219.246,TCP,53512,66
10.129.219.246,99.83.179.177,TCP,443,114
99.83.179.177,10.129.219.246,TCP,53503,66
99.83.179.177,10.129.219.246,TCP,53503,104
10.129.219.246,99.83.179.177,TCP,443,66
99.83.179.177,10.129.219.246,TCP,53503,98
10.129.219.246,99.83.179.177,TCP,443,66
10.129.219.246,99.83.179.177,TCP,443,102
99.83.179.177,10.129.219.246,TCP,53503,66
10.129.219.246,142.250.204.46,TCP,443,66
10.129.219.246,168.95.1.1,UDP,53,100
10.129.219.246,168.95.1.1,UDP,53,100
142.250.204.46,10.129.219.246,TCP,53532,66
168.95.1.1,10.129.219.246,UDP,8169,189
168.95.1.1,10.129.219.246,UDP,33023,230
