timestamp,global_delta_time,src_ip_delta_time,src_ip,dst_ip,src_port,dst_port,protocol,packet_length,payload_len,ttl,tcp_flags,tcp_flags_int,tcp_window,index
1747273414.365598,0.000077,0.362122,10.129.219.246,31.13.87.4,55716,443,TCP,66,0,64,A,16.0,2046.0,18
1747273414.365697,0.000099,0.000099,10.129.219.246,31.13.87.4,55716,443,TCP,66,0,64,A,16.0,2004.0,19
1747273414.365881,0.000184,0.000360,31.13.87.4,10.129.219.246,443,55716,TCP,1398,1332,54,PA,24.0,2043.0,20
1747273414.365885,0.000004,0.000004,31.13.87.4,10.129.219.246,443,55716,TCP,750,684,54,PA,24.0,2043.0,21
1747273414.365940,0.000055,0.000243,10.129.219.246,31.13.87.4,55716,443,TCP,66,0,64,A,16.0,1972.0,22
1747273414.365955,0.000015,0.000015,10.129.219.246,31.13.87.4,55716,443,TCP,66,0,64,A,16.0,2048.0,23
1747273414.367362,0.001407,0.001407,10.129.219.246,31.13.87.4,55716,443,TCP,102,36,64,PA,24.0,2048.0,24
1747273414.368069,0.000707,0.000707,10.129.219.246,31.13.87.4,55716,443,TCP,102,36,64,PA,24.0,2048.0,25
1747273414.370929,0.002860,0.005044,31.13.87.4,10.129.219.246,443,55716,TCP,66,0,54,A,16.0,2043.0,26
1747273414.372392,0.001463,0.001463,31.13.87.4,10.129.219.246,443,55716,TCP,66,0,54,A,16.0,2043.0,27
1747273415.002604,0.630212,0.634535,10.129.219.246,31.13.87.4,55716,443,TCP,288,222,64,PA,24.0,2048.0,28
1747273415.009572,0.006968,0.637180,31.13.87.4,10.129.219.246,443,55716,TCP,66,0,54,A,16.0,2043.0,29
1747273415.285843,0.276271,0.276271,31.13.87.4,10.129.219.246,443,55716,TCP,98,32,54,PA,24.0,2043.0,30
1747273415.285849,0.000006,0.000006,31.13.87.4,10.129.219.246,443,55716,TCP,109,43,54,PA,24.0,2043.0,31
1747273415.286167,0.000318,0.283563,10.129.219.246,31.13.87.4,55716,443,TCP,66,0,64,A,16.0,2046.0,32
1747273415.287977,0.001810,0.001810,10.129.219.246,31.13.87.4,55716,443,TCP,102,36,64,PA,24.0,2048.0,33
1747273415.291988,0.004011,0.006139,31.13.87.4,10.129.219.246,443,55716,TCP,66,0,54,A,16.0,2043.0,34
1747273418.296564,3.004576,3.008587,10.129.219.246,31.13.87.1,55630,443,TCP,98,32,64,PA,24.0,2048.0,35
1747273418.303892,0.007328,7.488619,31.13.87.1,10.129.219.246,443,55630,TCP,66,0,54,A,16.0,293.0,36
1747273418.416366,0.112474,0.112474,31.13.87.1,10.129.219.246,443,55630,TCP,94,28,54,PA,24.0,293.0,37
1747273418.416634,0.000268,0.120070,10.129.219.246,31.13.87.1,55630,443,TCP,66,0,64,A,16.0,2047.0,38
1747273419.995464,1.578830,1.579098,31.13.87.1,10.129.219.246,443,55718,TCP,137,71,54,PA,24.0,813.0,39
1747273419.995468,0.000004,0.000004,31.13.87.1,10.129.219.246,443,55643,TCP,137,71,54,PA,24.0,321.0,40
1747273419.995673,0.000205,1.579039,10.129.219.246,31.13.87.1,55718,443,TCP,66,0,64,A,16.0,2046.0,41
1747273419.995747,0.000074,0.000074,10.129.219.246,31.13.87.1,55643,443,TCP,66,0,64,A,16.0,2046.0,42
1747273420.000151,0.004404,0.004404,10.129.219.246,31.13.87.4,55629,443,TCP,95,29,64,PA,24.0,2048.0,43
1747273420.000293,0.000142,0.000142,10.129.219.246,31.13.87.1,55643,443,TCP,98,32,64,PA,24.0,2048.0,44
1747273420.000352,0.000059,0.000059,10.129.219.246,31.13.87.1,55644,443,TCP,98,32,64,PA,24.0,2048.0,45
1747273420.004204,0.003852,0.008736,31.13.87.1,10.129.219.246,443,55643,TCP,66,0,54,A,16.0,321.0,46
1747273420.004307,0.000103,0.000103,31.13.87.1,10.129.219.246,443,55644,TCP,66,0,54,A,16.0,299.0,47
1747273420.004471,0.000164,4.712483,31.13.87.4,10.129.219.246,443,55629,TCP,66,0,54,A,16.0,2043.0,48
1747273420.116371,0.111900,0.112064,31.13.87.1,10.129.219.246,443,55643,TCP,94,28,54,PA,24.0,321.0,49
1747273420.116553,0.000182,0.116201,10.129.219.246,31.13.87.1,55643,443,TCP,66,0,64,A,16.0,2047.0,50
1747273420.116772,0.000219,0.000401,31.13.87.1,10.129.219.246,443,55644,TCP,94,28,54,PA,24.0,299.0,51
1747273420.116796,0.000024,0.000243,10.129.219.246,31.13.87.1,55644,443,TCP,66,0,64,A,16.0,2047.0,52
1747273420.243842,0.127046,0.239371,31.13.87.4,10.129.219.246,443,55629,TCP,91,25,54,PA,24.0,2043.0,53
1747273420.243945,0.000103,0.127149,10.129.219.246,31.13.87.4,55629,443,TCP,66,0,64,A,16.0,2047.0,54
1747273425.698325,5.454380,5.454380,10.129.219.246,31.13.87.4,55716,443,TCP,95,29,64,PA,24.0,2048.0,55
1747273425.705669,0.007344,5.461827,31.13.87.4,10.129.219.246,443,55716,TCP,66,0,54,A,16.0,2043.0,56
1747273426.037003,0.331334,0.331334,31.13.87.4,10.129.219.246,443,55716,TCP,91,25,54,PA,24.0,2043.0,57
1747273426.037271,0.000268,0.338946,10.129.219.246,31.13.87.4,55716,443,TCP,66,0,64,A,16.0,2047.0,58
1747273426.698115,0.660844,0.660844,10.129.219.246,31.13.87.1,55715,443,TCP,98,32,64,PA,24.0,2048.0,59
1747273426.698874,0.000759,0.000759,10.129.219.246,31.13.87.1,55718,443,TCP,98,32,64,PA,24.0,2048.0,60
1747273426.699033,0.000159,0.000159,10.129.219.246,31.13.87.4,55716,443,TCP,289,223,64,PA,24.0,2048.0,61
1747273426.705769,0.006736,6.588997,31.13.87.1,10.129.219.246,443,55715,TCP,66,0,54,A,16.0,299.0,62
1747273426.705825,0.000056,0.668822,31.13.87.4,10.129.219.246,443,55716,TCP,66,0,54,A,16.0,2043.0,63
1747273426.706190,0.000365,0.000421,31.13.87.1,10.129.219.246,443,55718,TCP,66,0,54,A,16.0,813.0,64
1747273426.818815,0.112625,0.112625,31.13.87.1,10.129.219.246,443,55718,TCP,94,28,54,PA,24.0,813.0,65
1747273426.819028,0.000213,0.119995,10.129.219.246,31.13.87.1,55718,443,TCP,66,0,64,A,16.0,2047.0,66
1747273426.866267,0.047239,0.047452,31.13.87.1,10.129.219.246,443,55715,TCP,94,28,54,PA,24.0,299.0,67
1747273426.866461,0.000194,0.047433,10.129.219.246,31.13.87.1,55715,443,TCP,66,0,64,A,16.0,2047.0,68
1747273426.944210,0.077749,0.238385,31.13.87.4,10.129.219.246,443,55716,TCP,98,32,54,PA,24.0,2043.0,69
1747273426.944511,0.000301,0.078050,10.129.219.246,31.13.87.4,55716,443,TCP,66,0,64,A,16.0,2047.0,70
1747273426.959152,0.014641,0.014942,31.13.87.4,10.129.219.246,443,55716,TCP,109,43,54,PA,24.0,2043.0,71
1747273426.959243,0.000091,0.014732,10.129.219.246,31.13.87.4,55716,443,TCP,66,0,64,A,16.0,2047.0,72
1747273426.960001,0.000758,0.000758,10.129.219.246,31.13.87.4,55716,443,TCP,102,36,64,PA,24.0,2048.0,73
1747273426.963248,0.003247,0.004096,31.13.87.4,10.129.219.246,443,55716,TCP,66,0,54,A,16.0,2043.0,74
1747273429.109811,2.146563,2.243544,31.13.87.1,10.129.219.246,443,55643,TCP,131,65,54,PA,24.0,321.0,75
1747273429.109816,0.000005,0.000005,31.13.87.1,10.129.219.246,443,55718,TCP,131,65,54,PA,24.0,813.0,76
1747273429.110148,0.000332,2.150147,10.129.219.246,31.13.87.1,55643,443,TCP,66,0,64,A,16.0,2046.0,77
1747273429.110261,0.000113,0.000113,10.129.219.246,31.13.87.1,55718,443,TCP,66,0,64,A,16.0,2046.0,78
1747273430.693316,1.583055,1.583055,10.129.219.246,140.82.114.26,55741,443,TCP,54,0,64,A,16.0,2048.0,79
1747273430.697486,0.004170,0.004170,10.129.219.246,31.13.87.4,55629,443,TCP,95,29,64,PA,24.0,2048.0,80
1747273430.701291,0.003805,3.738043,31.13.87.4,10.129.219.246,443,55629,TCP,66,0,54,A,16.0,2043.0,81
1747273430.940925,0.044155,0.239634,31.13.87.4,10.129.219.246,443,55629,TCP,91,25,54,PA,24.0,2043.0,83
1747273430.941123,0.000198,0.243637,10.129.219.246,31.13.87.4,55629,443,TCP,66,0,64,A,16.0,2047.0,84
1747273432.307528,1.366405,1.366405,10.129.219.246,20.50.73.10,55764,443,TCP,54,0,64,A,16.0,2048.0,85
1747273433.418665,0.826869,1.111137,10.129.219.246,31.13.87.1,55630,443,TCP,98,32,64,PA,24.0,2048.0,87
1747273433.425766,0.007101,4.315950,31.13.87.1,10.129.219.246,443,55630,TCP,66,0,54,A,16.0,293.0,88
1747273433.538216,0.112450,0.112450,31.13.87.1,10.129.219.246,443,55630,TCP,94,28,54,PA,24.0,293.0,89
1747273433.538479,0.000263,0.119814,10.129.219.246,31.13.87.1,55630,443,TCP,66,0,64,A,16.0,2047.0,90
1747273433.616655,0.078176,0.078176,10.129.219.246,31.13.87.4,55716,443,TCP,675,609,64,PA,24.0,2048.0,91
1747273433.620312,0.003657,2.679387,31.13.87.4,10.129.219.246,443,55716,TCP,66,0,54,A,16.0,2043.0,92
1747273433.924417,0.304105,0.304105,31.13.87.4,10.129.219.246,443,55716,TCP,98,32,54,PA,24.0,2043.0,93
1747273433.924423,0.000006,0.000006,31.13.87.4,10.129.219.246,443,55716,TCP,109,43,54,PA,24.0,2043.0,94
1747273433.924751,0.000328,0.308096,10.129.219.246,31.13.87.4,55716,443,TCP,66,0,64,A,16.0,2046.0,95
1747273433.925290,0.000539,0.000867,31.13.87.4,10.129.219.246,443,55716,TCP,1436,1370,54,A,16.0,2043.0,96
1747273433.925294,0.000004,0.000004,31.13.87.4,10.129.219.246,443,55716,TCP,1436,1370,54,A,16.0,2043.0,97
1747273433.925296,0.000002,0.000002,31.13.87.4,10.129.219.246,443,55716,TCP,1398,1332,54,PA,24.0,2043.0,98
1747273433.925300,0.000004,0.000004,31.13.87.4,10.129.219.246,443,55716,TCP,766,700,54,PA,24.0,2043.0,99
1747273433.925373,0.000073,0.000622,10.129.219.246,31.13.87.4,55716,443,TCP,66,0,64,A,16.0,1972.0,100
1747273433.925472,0.000099,0.000099,10.129.219.246,31.13.87.4,55716,443,TCP,66,0,64,A,16.0,2048.0,101
1747273433.928920,0.003448,0.003448,10.129.219.246,31.13.87.4,55716,443,TCP,102,36,64,PA,24.0,2048.0,102
1747273433.939313,0.010393,0.010393,10.129.219.246,31.13.87.4,55716,443,TCP,102,36,64,PA,24.0,2048.0,103
1747273433.942802,0.003489,0.017502,31.13.87.4,10.129.219.246,443,55716,TCP,66,0,54,A,16.0,2043.0,104
1747273433.942937,0.000135,0.000135,31.13.87.4,10.129.219.246,443,55716,TCP,66,0,54,A,16.0,2043.0,105
1747273434.617040,0.674103,0.677727,10.129.219.246,31.13.87.4,55716,443,TCP,288,222,64,PA,24.0,2048.0,106
1747273434.626897,0.009857,0.683960,31.13.87.4,10.129.219.246,443,55716,TCP,66,0,54,A,16.0,2043.0,107
1747273434.948001,0.321104,0.321104,31.13.87.4,10.129.219.246,443,55716,TCP,98,32,54,PA,24.0,2043.0,108
1747273434.948006,0.000005,0.000005,31.13.87.4,10.129.219.246,443,55716,TCP,109,43,54,PA,24.0,2043.0,109
1747273434.948305,0.000299,0.331265,10.129.219.246,31.13.87.4,55716,443,TCP,66,0,64,A,16.0,2046.0,110
1747273434.949716,0.001411,0.001411,10.129.219.246,31.13.87.4,55716,443,TCP,102,36,64,PA,24.0,2048.0,111
1747273434.953487,0.003771,0.005481,31.13.87.4,10.129.219.246,443,55716,TCP,66,0,54,A,16.0,2043.0,112
1747273435.972126,1.018639,1.018639,31.13.87.4,10.129.219.246,443,55716,TCP,1436,1370,54,A,16.0,2043.0,113
1747273435.972132,0.000006,0.000006,31.13.87.4,10.129.219.246,443,55716,TCP,1436,1370,54,A,16.0,2043.0,114
1747273435.972329,0.000197,0.000197,31.13.87.4,10.129.219.246,443,55716,TCP,1398,1332,54,PA,24.0,2043.0,115
1747273435.972332,0.000003,0.000003,31.13.87.4,10.129.219.246,443,55716,TCP,1436,1370,54,A,16.0,2043.0,116
1747273435.972336,0.000004,0.000004,31.13.87.4,10.129.219.246,443,55716,TCP,143,77,54,PA,24.0,2043.0,117
1747273435.972439,0.000103,1.022723,10.129.219.246,31.13.87.4,55716,443,TCP,66,0,64,A,16.0,2005.0,118
1747273435.972540,0.000101,0.000101,10.129.219.246,31.13.87.4,55716,443,TCP,66,0,64,A,16.0,1961.0,119
1747273435.972716,0.000176,0.000176,10.129.219.246,31.13.87.4,55716,443,TCP,66,0,64,A,16.0,2048.0,120
1747273435.974388,0.001672,0.001672,10.129.219.246,31.13.87.4,55716,443,TCP,102,36,64,PA,24.0,2048.0,121
1747273435.978482,0.004094,0.006146,31.13.87.4,10.129.219.246,443,55716,TCP,66,0,54,A,16.0,2043.0,122
1747273436.275596,0.297114,0.301208,10.129.219.246,142.250.204.42,55766,443,TCP,78,0,64,S,2.0,65535.0,123
1747273436.281244,0.000237,0.005648,10.129.219.246,142.250.204.42,55766,443,TCP,66,0,64,A,16.0,2055.0,125
1747273436.281393,0.000149,0.000149,10.129.219.246,142.250.204.42,55766,443,TCP,614,548,64,PA,24.0,2055.0,126
1747273436.286167,0.004774,0.005160,142.250.204.42,10.129.219.246,443,55766,TCP,66,0,121,A,16.0,1048.0,127
1747273436.290146,0.003979,0.003979,142.250.204.42,10.129.219.246,443,55766,TCP,269,203,121,PA,24.0,1048.0,128
1747273436.290214,0.000068,0.008821,10.129.219.246,142.250.204.42,55766,443,TCP,66,0,64,A,16.0,2051.0,129
1747273436.290574,0.000360,0.000360,10.129.219.246,142.250.204.42,55766,443,TCP,1436,1370,64,A,16.0,2051.0,130
1747273436.290576,0.000002,0.000002,10.129.219.246,142.250.204.42,55766,443,TCP,1436,1370,64,A,16.0,2051.0,131
1747273436.290577,0.000001,0.000001,10.129.219.246,142.250.204.42,55766,443,TCP,1436,1370,64,A,16.0,2051.0,132
1747273436.290588,0.000011,0.000011,10.129.219.246,142.250.204.42,55766,443,TCP,281,215,64,PA,24.0,2051.0,133
1747273436.294678,0.004090,0.004532,142.250.204.42,10.129.219.246,443,55766,TCP,66,0,121,A,16.0,1038.0,134
1747273436.295093,0.000415,0.000415,142.250.204.42,10.129.219.246,443,55766,TCP,66,0,121,A,16.0,1032.0,135
1747273436.305243,0.010150,0.010150,142.250.204.42,10.129.219.246,443,55766,TCP,1386,1320,121,PA,24.0,1032.0,136
1747273436.305247,0.000004,0.000004,142.250.204.42,10.129.219.246,443,55766,TCP,93,27,121,PA,24.0,1032.0,137
1747273436.305318,0.000071,0.014730,10.129.219.246,142.250.204.42,55766,443,TCP,66,0,64,A,16.0,2030.0,138
1747273436.305478,0.000160,0.000231,142.250.204.42,10.129.219.246,443,55766,TCP,66,0,121,FA,17.0,1032.0,139
1747273436.305511,0.000033,0.000193,10.129.219.246,142.250.204.42,55766,443,TCP,66,0,64,A,16.0,2030.0,140
1747273436.306546,0.001035,0.001035,10.129.219.246,142.250.204.42,55766,443,TCP,90,24,64,PA,24.0,2048.0,141
1747273436.306749,0.000203,0.000203,10.129.219.246,142.250.204.42,55766,443,TCP,66,0,64,FA,17.0,2048.0,142
1747273436.310463,0.003714,0.004985,142.250.204.42,10.129.219.246,443,55766,TCP,60,0,121,R,4.0,0.0,143
1747273436.310465,0.000002,0.000002,142.250.204.42,10.129.219.246,443,55766,TCP,60,0,121,R,4.0,0.0,144
1747273436.699597,0.389132,0.392848,10.129.219.246,140.112.254.4,49289,53,UDP,79,0,64,None,,,145
1747273436.700109,0.000512,0.000512,10.129.219.246,140.112.254.4,55273,53,UDP,79,0,64,None,,,146
1747273436.705825,0.000003,0.000003,140.112.254.4,10.129.219.246,53,49289,UDP,317,0,59,None,,,148
1747273436.706875,0.001050,0.006766,10.129.219.246,13.107.246.73,55767,443,TCP,78,0,64,S,2.0,65535.0,149
1747273436.710800,0.000102,0.003925,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,2055.0,151
1747273436.711660,0.000860,0.000860,10.129.219.246,13.107.246.73,55767,443,TCP,1436,1370,64,A,16.0,2055.0,152
1747273436.711676,0.000016,0.000016,10.129.219.246,13.107.246.73,55767,443,TCP,792,726,64,PA,24.0,2055.0,153
1747273436.722723,0.011047,0.011047,10.129.219.246,13.107.246.73,55767,443,TCP,1436,1370,64,PA,24.0,2055.0,154
1747273436.741901,0.019178,0.031203,13.107.246.73,10.129.219.246,443,55767,TCP,66,0,54,A,16.0,83.0,155
1747273436.741903,0.000002,0.000002,13.107.246.73,10.129.219.246,443,55767,TCP,165,99,54,PA,24.0,83.0,156
1747273436.741983,0.000080,0.019260,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,2053.0,157
1747273436.742396,0.000413,0.000413,10.129.219.246,13.107.246.73,55767,443,TCP,976,910,64,PA,24.0,2053.0,158
1747273436.744175,0.001779,0.002272,13.107.246.73,10.129.219.246,443,55767,TCP,78,0,54,A,16.0,83.0,159
1747273436.746141,0.001966,0.001966,13.107.246.73,10.129.219.246,443,55767,TCP,66,0,54,A,16.0,83.0,160
1747273436.747230,0.001089,0.001089,13.107.246.73,10.129.219.246,443,55767,TCP,347,281,54,PA,24.0,83.0,161
1747273436.747282,0.000052,0.004886,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,2049.0,162
1747273436.748163,0.000881,0.000881,10.129.219.246,13.107.246.73,55767,443,TCP,140,74,64,PA,24.0,2049.0,163
1747273436.748490,0.000327,0.000327,10.129.219.246,13.107.246.73,55767,443,TCP,158,92,64,PA,24.0,2049.0,164
1747273436.748967,0.000477,0.000477,10.129.219.246,13.107.246.73,55767,443,TCP,342,276,64,PA,24.0,2049.0,165
1747273436.751342,0.002375,0.004112,13.107.246.73,10.129.219.246,443,55767,TCP,128,62,54,PA,24.0,83.0,166
1747273436.751385,0.000043,0.002418,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,2048.0,167
1747273436.751524,0.000139,0.000139,10.129.219.246,13.107.246.73,55767,443,TCP,97,31,64,PA,24.0,2048.0,168
1747273436.753168,0.001644,0.001826,13.107.246.73,10.129.219.246,443,55767,TCP,66,0,54,A,16.0,83.0,169
1747273436.753847,0.000679,0.000679,13.107.246.73,10.129.219.246,443,55767,TCP,97,31,54,PA,24.0,83.0,170
1747273436.753878,0.000031,0.002354,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,2047.0,171
1747273436.756266,0.002388,0.002419,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,172
1747273436.756270,0.000004,0.000004,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,173
1747273436.756308,0.000038,0.002430,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,2005.0,174
1747273436.756342,0.000034,0.000034,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,2048.0,175
1747273436.756692,0.000350,0.000422,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,PA,24.0,83.0,176
1747273436.756697,0.000005,0.000005,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,177
1747273436.756700,0.000003,0.000003,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,178
1747273436.756728,0.000028,0.000386,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,1983.0,179
1747273436.756756,0.000028,0.000028,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,2048.0,180
1747273436.757034,0.000278,0.000334,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,PA,24.0,83.0,181
1747273436.757037,0.000003,0.000003,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,182
1747273436.757047,0.000010,0.000010,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,183
1747273436.757050,0.000003,0.000003,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,PA,24.0,83.0,184
1747273436.757079,0.000029,0.000323,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,1962.0,185
1747273436.757102,0.000023,0.000023,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,2048.0,186
1747273436.758359,0.001257,0.001309,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,187
1747273436.758368,0.000009,0.000009,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,PA,24.0,83.0,188
1747273436.758381,0.000013,0.001279,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,2026.0,189
1747273436.758398,0.000017,0.000017,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,2005.0,190
1747273436.758433,0.000035,0.000035,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,2048.0,191
1747273436.759602,0.001169,0.001234,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,192
1747273436.759607,0.000005,0.000005,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,193
1747273436.759632,0.000025,0.001199,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,2005.0,194
1747273436.759683,0.000051,0.000051,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,2048.0,195
1747273436.760319,0.000636,0.000712,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,196
1747273436.760324,0.000005,0.000005,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,PA,24.0,83.0,197
1747273436.760350,0.000026,0.000667,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,2005.0,198
1747273436.760553,0.000203,0.000203,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,2048.0,199
1747273436.762163,0.001610,0.001839,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,200
1747273436.762167,0.000004,0.000004,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,201
1747273436.762235,0.000068,0.001682,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,2005.0,202
1747273436.762372,0.000137,0.000137,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,2048.0,203
1747273436.762935,0.000563,0.000768,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,204
1747273436.762972,0.000037,0.000600,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,2026.0,205
1747273436.764333,0.001361,0.001398,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,206
1747273436.764336,0.000003,0.000003,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,PA,24.0,83.0,207
1747273436.764341,0.000005,0.000005,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,208
1747273436.764344,0.000003,0.000003,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,209
1747273436.764348,0.000004,0.000004,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,210
1747273436.764351,0.000003,0.000003,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,211
1747273436.764354,0.000003,0.000003,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,212
1747273436.764356,0.000002,0.000002,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,213
1747273436.764359,0.000003,0.000003,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,PA,24.0,83.0,214
1747273436.764413,0.000054,0.001441,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,1855.0,215
1747273436.764473,0.000060,0.000060,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,2048.0,216
1747273436.764775,0.000302,0.000416,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,217
1747273436.764778,0.000003,0.000003,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,218
1747273436.764813,0.000035,0.000340,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,2005.0,219
1747273436.764853,0.000040,0.000040,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,2048.0,220
1747273436.765356,0.000503,0.000578,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,221
1747273436.765360,0.000004,0.000004,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,222
1747273436.765397,0.000037,0.000544,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,2005.0,223
1747273436.765437,0.000040,0.000040,10.129.219.246,13.107.246.73,55767,443,TCP,66,0,64,A,16.0,2048.0,224
1747273436.766504,0.001067,0.001144,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,225
1747273436.766508,0.000004,0.000004,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,226
1747273436.766510,0.000002,0.000002,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,227
1747273436.766513,0.000003,0.000003,13.107.246.73,10.129.219.246,443,55767,TCP,1436,1370,54,A,16.0,83.0,228
